day,scenario,appi,daily_ubi_amount,a_supply_total,a_unclaimed_total,a_decay_burn_total,b_supply_total,b_reserves,b_liabilities,reserve_coverage_ratio,crystallized_a_total,crystallized_b_total,top10_b_share,median_b_balance,gini_b,gini_integrity,virtual_stake_usage_rate,defense_quota_usage_rate,defense_quota_uptake_rate,defense_quota_eligible_total
0,appi_shock,101.6157,101.6157,13306.2193,4166.2443,0.0,146.1112,20000.0,0.0,20000.0,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0.0,0
1,appi_shock,100.2864,100.2864,22010.1909,5436.7349,0.0,146.1112,20000.0,43.3427,461.4383,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0.0,0
2,appi_shock,101.4561,101.4561,32736.7288,4855.803,0.0,146.1112,20000.0,43.3427,461.4383,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0.0,0
3,appi_shock,101.5527,101.5527,42269.8001,5478.0042,0.0,146.1112,20000.0,43.3427,461.4383,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0.0,0
4,appi_shock,102.4619,102.4619,51839.3028,6126.1212,0.0,166.0928,19980.0184,46.2154,432.3241,24.977,19.9816,0.2771,1.3836,0.3847,0.2688,0.0,0.0,0.0,0
5,appi_shock,102.0681,102.0681,62148.7469,6023.4863,0.0,189.454,19956.6573,22.8542,873.2146,54.1784,43.3427,0.3496,1.4346,0.4441,0.2692,0.0,0.0,0.0,0
6,appi_shock,102.7898,102.7898,72507.7912,5943.4251,0.0,189.454,19956.6573,22.8542,873.2146,54.1784,43.3427,0.3496,1.4346,0.4441,0.2692,0.0,0.0,0.0,0
7,appi_shock,104.6935,104.6935,81653.4815,7267.0828,0.0,212.3082,19933.803,-0.0,19933.803,82.7462,66.197,0.4074,1.5033,0.4871,0.2686,0.0,0.0,0.0,0
8,appi_shock,104.0671,104.0671,94125.7866,5201.4926,0.0,212.3082,19933.803,-0.0,19933.803,82.7462,66.197,0.4074,1.5033,0.4871,0.2686,0.0,0.0,0.0,0
9,appi_shock,105.2511,105.2511,104162.2925,5651.8202,7.5875,212.3082,19933.803,40.7481,489.1955,82.7462,66.197,0.3584,1.5033,0.4476,0.2686,0.0,0.0,0.0,0
10,appi_shock,104.3205,104.3205,115851.6613,4284.3188,77.1234,212.3082,19933.803,57.0702,349.2856,82.7462,66.197,0.4013,1.5424,0.482,0.2689,0.0,0.0,0.0,0
11,appi_shock,105.327,105.327,124372.9961,6093.5529,243.9635,245.7881,19900.3231,51.8268,383.9775,124.5961,99.6769,0.4782,1.5424,0.5409,0.2668,0.0,0.0,0.0,0
12,appi_shock,106.0143,106.0143,133920.2883,6867.754,493.7647,274.0501,19872.0611,63.0655,315.1021,159.9236,127.9389,0.4946,1.6048,0.55,0.2631,0.0,0.0,0.0,0
13,appi_shock,106.6706,106.6706,144366.2133,6689.2621,834.7602,294.0968,19852.0144,89.9258,220.7599,184.982,147.9856,0.5229,1.6448,0.5679,0.2625,0.0,0.0,0.0,0
14,appi_shock,105.441,105.441,155129.4788,6024.6419,1280.215,317.6616,19828.4496,50.9714,389.0113,214.438,171.5504,0.5265,1.6959,0.5954,0.2624,0.0,0.0,0.0,0
15,appi_shock,104.8875,104.8875,166068.5153,4946.3029,1833.3024,341.7727,19804.3385,86.8326,228.0749,244.5768,195.6615,0.5309,1.7256,0.6091,0.2646,0.0,0.0,0.0,0
16,appi_shock,105.2777,105.2777,174989.3796,5892.5255,2493.9875,373.1389,19772.9723,55.4664,356.4859,283.7846,227.0277,0.5257,1.7469,0.6172,0.2644,0.0,0.0,0.0,0
17,appi_shock,104.8623,104.8623,184798.9557,5774.9177,3243.8813,390.6264,19755.4849,86.3668,228.7394,305.6439,244.5151,0.5294,1.7469,0.62,0.2646,0.0,0.0,0.0,0
18,appi_shock,104.1937,104.1937,195432.0031,4699.993,4091.8709,439.4702,19706.641,48.1309,409.4383,366.6988,293.359,0.4941,1.8356,0.627,0.2637,0.0,0.0,0.0,0
19,appi_shock,107.5325,107.5325,203726.987,6185.6358,5046.1909,459.2452,19686.866,42.9964,457.8724,391.4175,313.134,0.4722,1.8421,0.623,0.2635,0.0,0.0,0.0,0
20,appi_shock,107.466,107.466,213270.782,6323.4785,6083.4608,483.8786,19662.2327,50.2,391.6782,422.2092,337.7673,0.4903,1.856,0.6283,0.2627,0.0,0.0,0.0,0
21,appi_shock,105.821,105.821,222823.896,6170.8008,7216.1686,504.1295,19641.9818,62.9163,312.1924,447.5228,358.0182,0.4746,1.856,0.6341,0.2646,0.0,0.0,0.0,0
22,appi_shock,104.5248,104.5248,232966.5923,5252.3478,8444.4076,526.2862,19619.825,46.2901,423.8449,475.2187,380.175,0.4692,1.8654,0.6336,0.2614,0.0,0.0,0.0,0
23,appi_shock,104.2839,104.2839,241833.0945,5433.4468,9774.0735,540.5317,19605.5795,64.7148,302.9537,503.3096,394.4205,0.4837,1.8654,0.6416,0.2627,0.5,0.0,0.0,0
24,appi_shock,106.4028,106.4028,250967.0492,5503.9027,11192.4044,573.4711,19572.6401,45.804,427.3124,544.4838,427.3599,0.4891,1.8856,0.6494,0.2635,0.5,0.0,0.0,0
25,appi_shock,105.0213,105.0213,259858.7344,5578.6168,12702.0749,573.4711,19572.6401,61.1225,320.2201,544.4838,427.3599,0.4843,1.8856,0.6489,0.2645,0.5,0.0,0.0,0
26,appi_shock,105.9331,105.9331,269544.0629,4862.2104,14300.6623,599.5845,19546.5267,61.1361,319.7214,577.1256,453.4733,0.4814,1.9053,0.651,0.2629,0.5,0.0,0.0,0
27,appi_shock,104.4779,104.4779,277470.2698,5662.8051,15996.1029,650.4767,19495.6346,14.3071,1362.6592,640.7407,504.3654,0.442,2.0018,0.6418,0.2611,0.25,0.0,0.0,0
28,appi_shock,104.7575,104.7575,288252.5111,3560.9742,17770.8056,650.4767,19495.6346,50.2176,388.2231,640.7407,504.3654,0.4421,2.0018,0.64,0.2598,0.25,0.0,0.0,0
29,appi_shock,103.2969,103.2969,296108.7206,4144.4584,19653.3307,655.0461,19491.0651,68.1111,286.1657,653.421,508.9349,0.4209,2.0254,0.6248,0.2568,0.1667,0.0,0.0,0
30,appi_shock,195.7904,108.4618,304904.0199,4188.6911,21614.4179,700.3139,19445.7973,12.3482,1574.7835,710.0057,554.2027,0.4007,2.2274,0.6171,0.2529,0.1667,0.0,0.0,0
31,appi_shock,196.2362,113.8849,312574.8321,5820.0081,23663.4581,706.6817,19439.4296,35.8354,542.465,717.9654,560.5704,0.4067,2.2782,0.616,0.2549,0.1667,0.0,0.0,0
32,appi_shock,201.7227,119.5791,321871.0436,6322.4961,25789.2064,733.4534,19412.6578,50.2236,386.5249,751.4302,587.3422,0.4072,2.4176,0.6149,0.2541,0.1667,0.0,0.0,0
33,appi_shock,196.5946,125.5581,332244.2996,6228.8529,28007.9169,763.3083,19382.8029,51.9684,372.9727,788.7488,617.1971,0.4157,2.5504,0.619,0.2512,0.1667,0.0,0.0,0
34,appi_shock,196.6177,131.836,343453.076,5833.6534,30330.3599,801.3712,19344.74,104.126,185.782,836.3274,655.26,0.4202,2.5504,0.619,0.2506,0.1667,0.0,0.0,0
35,appi_shock,198.298,138.4278,351791.0423,8865.2532,32764.8906,807.3517,19338.7595,129.0907,149.8076,843.803,661.2405,0.4168,2.5987,0.614,0.2511,0.1667,0.0,0.0,0
36,appi_shock,199.8802,145.3492,364806.141,7844.2254,35282.801,853.3396,19292.7716,101.4516,190.1673,901.2879,707.2284,0.4261,2.6863,0.6198,0.2492,0.1667,0.0,0.0,0
37,appi_shock,198.4663,152.6166,376719.8976,8521.1867,37930.8625,884.2848,19261.8264,55.5104,346.9951,939.9693,738.1736,0.4487,2.748,0.6335,0.247,0.1667,0.0,0.0,0
38,appi_shock,191.8175,160.2475,390624.2059,7746.3842,40698.0614,892.8438,19253.2674,149.3846,128.8839,950.6682,746.7326,0.4443,2.748,0.6325,0.247,0.1667,0.0,0.0,0
39,appi_shock,192.9504,168.2598,405632.0496,6658.2821,43604.3035,892.8438,19253.2674,130.5303,147.5004,950.6682,746.7326,0.456,2.748,0.6387,0.2476,0.1667,0.0,0.0,0
40,appi_shock,193.4001,176.6728,419021.7207,7800.4459,46660.624,934.3089,19211.8023,152.3672,126.0888,1002.4995,788.1977,0.4724,2.748,0.6482,0.2476,0.1667,0.0,0.0,0
41,appi_shock,194.8196,185.5065,433789.3023,8376.3753,49850.8412,1005.0253,19141.0859,106.3746,179.9404,1090.895,858.9141,0.4526,2.8468,0.6368,0.2454,0.1667,0.0,0.0,0
42,appi_shock,191.5494,191.5494,451350.5488,6632.1752,53188.7342,1039.2742,19106.837,72.1256,264.9105,1133.7062,893.163,0.4633,2.8468,0.6444,0.244,0.1667,0.0,0.0,0
43,appi_shock,190.1172,190.1172,463616.7055,9864.2322,56702.2397,1086.6761,19059.4351,24.7237,770.8968,1192.9586,940.5649,0.4615,2.8853,0.6441,0.2416,0.1667,0.0,0.0,0
