day,scenario,appi,daily_ubi_amount,a_supply_total,a_unclaimed_total,a_decay_burn_total,b_supply_total,b_reserves,b_liabilities,reserve_coverage_ratio,crystallized_a_total,crystallized_b_total,top10_b_share,median_b_balance,gini_b,gini_integrity,virtual_stake_usage_rate,defense_quota_usage_rate,defense_quota_eligible_total
0,dispute_pressure,101.6157,101.6157,12899.7564,4572.7071,0.0,146.1112,20000.0,0.0,20000.0,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0
1,dispute_pressure,100.2864,100.2864,21706.6731,5740.2527,0.0,146.1112,20000.0,43.3427,461.4383,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0
2,dispute_pressure,101.4561,101.4561,32231.7878,5360.744,0.0,146.1112,20000.0,43.3427,461.4383,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0
3,dispute_pressure,101.5527,101.5527,41560.3277,6187.4766,0.0,146.1112,20000.0,43.3427,461.4383,0.0,0.0,0.1937,1.3543,0.3155,0.2698,0.0,0.0,0
4,dispute_pressure,102.4619,102.4619,50103.0025,7862.4216,0.0,166.0928,19980.0184,46.2154,432.3241,24.977,19.9816,0.2771,1.3836,0.3847,0.2688,0.0,0.0,0
5,dispute_pressure,102.0681,102.0681,61331.5362,6840.697,0.0,189.454,19956.6573,22.8542,873.2146,54.1784,43.3427,0.3496,1.4346,0.4441,0.2692,0.0,0.0,0
6,dispute_pressure,102.7898,102.7898,71687.6378,6763.5785,0.0,189.454,19956.6573,22.8542,873.2146,54.1784,43.3427,0.3496,1.4346,0.4441,0.2692,0.0,0.0,0
7,dispute_pressure,104.6935,104.6935,79583.0452,9337.519,0.0,189.454,19956.6573,22.8542,873.2146,54.1784,43.3427,0.3496,1.4346,0.4441,0.2692,0.0,0.0,0
8,dispute_pressure,101.8002,102.5996,91425.3798,7725.1136,0.0,189.454,19956.6573,46.8796,425.6999,54.1784,43.3427,0.3496,1.4346,0.4441,0.2692,0.0,0.0,0
9,dispute_pressure,105.2511,105.2511,102340.0562,7299.3889,5.4694,212.3082,19933.803,64.7735,307.7461,82.7462,66.197,0.3584,1.5033,0.4476,0.2681,0.0,0.0,0
10,dispute_pressure,105.3019,105.3019,114643.7118,5463.1504,68.2389,212.3082,19933.803,48.5748,410.3732,82.7462,66.197,0.4013,1.5424,0.482,0.2686,0.0,0.0,0
11,dispute_pressure,102.6448,103.1958,122452.0323,7788.3167,223.6923,236.3336,19909.7776,49.0635,405.7958,112.778,90.2224,0.4565,1.6048,0.5257,0.2668,0.0,0.0,0
12,dispute_pressure,105.5992,105.5992,132284.592,8287.4478,451.9179,251.0426,19895.0686,49.6838,400.4334,131.1643,104.9314,0.4488,1.6448,0.5189,0.2663,0.0,0.0,0
13,dispute_pressure,104.4749,104.4749,142413.029,8265.1658,774.9494,260.883,19885.2282,54.4865,364.9569,143.4648,114.7718,0.4708,1.6448,0.5344,0.2654,0.0,0.0,0
14,dispute_pressure,103.6659,103.6659,153513.1914,7077.2551,1199.0796,268.7543,19877.3569,38.8121,512.1436,174.1074,122.6431,0.5146,1.6448,0.563,0.2656,0.0,0.0,0
15,dispute_pressure,106.1104,106.1104,164139.9825,6526.375,1734.2116,268.7543,19877.3569,38.8121,512.1436,174.1074,122.6431,0.5146,1.6448,0.563,0.2656,0.0,0.0,0
16,dispute_pressure,106.9233,106.9233,173596.9849,7120.298,2375.6114,307.5664,19838.5448,0.0,19838.5448,222.6225,161.4552,0.5577,1.6448,0.6015,0.2661,0.0,0.0,0
17,dispute_pressure,105.5068,105.5068,183942.9021,6560.6761,3111.5812,307.5664,19838.5448,22.7304,872.7777,222.6225,161.4552,0.5577,1.6448,0.6015,0.2661,0.0,0.0,0
18,dispute_pressure,105.2478,105.2478,194797.2394,5377.9653,3951.0103,307.5664,19838.5448,33.7099,588.5081,222.6225,161.4552,0.5577,1.6448,0.6015,0.2661,0.0,0.0,0
19,dispute_pressure,106.2298,106.2298,203229.5683,6572.2069,4898.9826,312.3343,19833.7769,61.4821,322.5942,236.3469,166.2231,0.5492,1.6448,0.6041,0.2654,0.0,0.0,0
20,dispute_pressure,104.6789,104.6789,211767.3022,7470.0717,5931.2783,335.0646,19811.0466,70.6252,280.5097,264.7599,188.9534,0.5407,1.6048,0.6011,0.2626,0.0,0.0,0
21,dispute_pressure,105.1252,105.1252,220142.1339,8416.1952,7048.9513,378.2966,19767.8146,70.8887,278.8572,318.7998,232.1854,0.5736,1.6048,0.6465,0.2616,0.0,0.0,0
22,dispute_pressure,104.5157,104.5157,230462.6583,7338.9409,8250.3727,402.7976,19743.3136,60.5803,325.9031,349.4261,256.6864,0.5625,1.6448,0.6485,0.2619,0.0,0.0,0
23,dispute_pressure,106.891,106.891,239126.4359,8059.6404,9554.9993,408.3022,19737.809,40.2882,489.9155,356.3068,262.191,0.5483,1.7275,0.6474,0.2631,0.0,0.0,0
24,dispute_pressure,105.4618,105.4618,248093.8836,8247.1103,10946.2636,422.8006,19723.3106,25.7898,764.7718,374.4298,276.6894,0.5512,1.7275,0.6544,0.2632,0.0,0.0,0
25,dispute_pressure,107.1484,107.1484,257884.4879,7669.0588,12427.2025,442.958,19703.1532,48.037,410.1659,399.6265,296.8468,0.5379,1.7275,0.647,0.2616,0.0,0.0,0
26,dispute_pressure,106.43,106.43,267484.6272,7133.0781,14006.0473,448.3652,19697.746,33.822,582.3945,406.3855,302.254,0.5097,1.7917,0.6368,0.2594,0.0,0.0,0
27,dispute_pressure,105.2099,105.2099,276035.6522,7402.447,15680.8936,455.5202,19690.5911,52.867,372.4551,415.3292,309.4089,0.4948,1.8421,0.6304,0.2578,0.0,0.0,0
28,dispute_pressure,107.0483,107.0483,286186.7872,6179.8051,17441.2501,455.5202,19690.5911,49.8955,394.6367,415.3292,309.4089,0.5101,1.8421,0.6399,0.2579,0.0,0.0,0
29,dispute_pressure,103.4043,104.9073,294982.7424,6012.7124,19303.118,455.5202,19690.5911,33.3806,589.8807,415.3292,309.4089,0.5016,1.8421,0.6428,0.2562,0.0,0.0,0
30,dispute_pressure,105.7885,105.7885,303495.0584,6129.4191,21252.9454,468.302,19677.8092,20.5988,955.289,431.3065,322.1908,0.4879,1.856,0.6387,0.2574,0.0,0.0,0
31,dispute_pressure,106.7737,106.7737,312946.269,5320.627,23287.896,468.302,19677.8092,20.5988,955.289,431.3065,322.1908,0.466,1.8567,0.6316,0.2574,0.0,0.0,0
32,dispute_pressure,105.9392,105.9392,319091.3271,7640.0276,25417.3587,468.302,19677.8092,31.3135,628.412,431.3065,322.1908,0.4769,1.8567,0.6327,0.2574,0.0,0.0,0
33,dispute_pressure,104.4694,104.4694,328349.5101,6623.0237,27608.272,468.302,19677.8092,59.2229,332.2669,431.3065,322.1908,0.458,1.8567,0.6197,0.2574,0.0,0.0,0
34,dispute_pressure,102.3976,102.3976,336931.5625,5997.2322,29891.7671,488.9008,19657.2104,38.6241,508.9363,457.055,342.7896,0.4638,1.8567,0.6283,0.2571,0.0,0.0,0
35,dispute_pressure,103.9753,103.9753,343975.1154,6950.548,32261.0827,488.9008,19657.2104,47.6723,412.3399,457.055,342.7896,0.4587,1.8856,0.6285,0.2562,0.25,0.0,0
36,dispute_pressure,103.0562,103.0562,351658.9756,7132.5566,34700.8339,500.7804,19645.3308,41.2512,476.2369,471.9046,354.6692,0.4677,1.8856,0.6349,0.2577,0.25,0.0,0
37,dispute_pressure,103.6119,103.6119,358758.2563,7867.787,37217.4236,505.4127,19640.6985,26.77,733.6824,486.7008,359.3015,0.4786,1.8856,0.6429,0.2566,0.2,0.0,0
38,dispute_pressure,102.4751,102.4751,366624.5664,7614.1731,39805.0062,518.6537,19627.4575,45.8558,428.026,503.252,372.5425,0.4781,1.8856,0.6477,0.2563,0.2,0.0,0
39,dispute_pressure,102.4084,102.4084,373905.563,7902.0955,42471.2518,518.6537,19627.4575,50.3921,389.4948,503.252,372.5425,0.4781,1.8856,0.6477,0.2563,0.2,0.0,0
40,dispute_pressure,103.0658,103.0658,381235.8122,8127.0776,45210.3075,518.6537,19627.4575,60.229,325.8803,503.252,372.5425,0.4781,1.8856,0.6477,0.2563,0.2,0.0,0
41,dispute_pressure,101.5308,101.5308,389658.7519,7044.8579,48022.6656,556.4388,19589.6724,48.8205,401.2594,550.4834,410.3276,0.4583,1.8856,0.6412,0.2525,0.2,0.0,0
42,dispute_pressure,100.8216,100.8216,397861.8607,5969.9098,50919.2531,570.8121,19575.2991,91.9531,212.8836,568.45,424.7009,0.4517,1.9053,0.6398,0.253,0.2,0.0,0
43,dispute_pressure,101.4803,101.4803,404207.0914,6794.0859,53897.8717,578.8827,19567.2285,83.8824,233.2697,578.5383,432.7715,0.445,1.9053,0.6377,0.2507,0.2,0.0,0
44,dispute_pressure,101.6133,101.6133,411788.8725,6298.1242,56939.9426,595.846,19550.2652,84.0962,232.4749,622.2946,449.7348,0.4303,1.9187,0.6297,0.2506,0.1429,0.0,0
45,dispute_pressure,99.0478,99.5811,418413.4404,6513.774,60057.8314,616.1011,19530.0101,38.4337,508.1475,659.7274,469.9899,0.4186,1.9525,0.6248,0.2485,0.25,0.0,0
46,dispute_pressure,100.7499,100.7499,425184.1525,6633.915,63241.9658,623.8312,19522.28,38.8038,503.1029,669.3901,477.72,0.4176,1.9525,0.6258,0.2488,0.25,0.0,0
47,dispute_pressure,97.6556,98.7349,429453.7105,8956.9038,66493.8073,623.8312,19522.28,62.0834,314.4527,669.3901,477.72,0.4176,1.9525,0.6258,0.2488,0.25,0.0,0
48,dispute_pressure,98.3317,98.3317,438055.1874,6833.0557,69788.3444,623.8312,19522.28,72.0798,270.8425,669.3901,477.72,0.3976,1.9664,0.6151,0.2496,0.3333,0.0,0
49,dispute_pressure,96.626,96.626,444727.2456,6427.4725,73168.8963,647.1108,19499.0004,61.2568,318.3156,698.4896,500.9996,0.4131,1.9978,0.6194,0.249,0.4,0.0,0
50,dispute_pressure,97.7602,97.7602,451296.1728,6147.5321,76616.1687,662.4873,19483.6239,77.6914,250.7823,717.7102,516.3761,0.4267,1.9978,0.6277,0.2482,0.4,0.0,0
51,dispute_pressure,98.9691,98.9691,457408.1189,6400.959,80129.1305,708.9625,19437.1487,43.7474,444.3037,778.7105,562.8513,0.4301,2.0948,0.6307,0.2437,0.4545,0.0,0
52,dispute_pressure,97.1648,97.1648,464091.4703,5860.0016,83703.2116,708.9625,19437.1487,43.7474,444.3037,778.7105,562.8513,0.4265,2.1714,0.6243,0.2442,0.4545,0.0,0
53,dispute_pressure,96.0421,96.0421,470213.8839,5700.8867,87344.1263,737.8537,19408.2576,57.6394,336.7184,814.8245,591.7424,0.42,2.2104,0.6126,0.2438,0.4545,0.0,0
54,dispute_pressure,96.6382,96.6382,475787.5616,6088.8914,91046.2652,737.8537,19408.2576,60.2367,322.2,814.8245,591.7424,0.4289,2.2104,0.6165,0.2438,0.4545,0.0,0
55,dispute_pressure,94.5888,94.7054,481194.971,6388.6709,94804.1408,737.8537,19408.2576,64.6208,300.3408,814.8245,591.7424,0.4289,2.2104,0.6147,0.243,0.4545,0.0,0
56,dispute_pressure,96.329,96.329,485636.046,7768.5418,98616.0905,752.7099,19393.4013,48.669,398.4755,833.3948,606.5987,0.4136,2.3291,0.6077,0.2434,0.4545,0.0,0
57,dispute_pressure,96.1723,96.1723,493018.7006,6146.7574,102472.451,752.7099,19393.4013,33.0243,587.2459,833.3948,606.5987,0.4046,2.469,0.6057,0.2433,0.4167,0.0,0
58,dispute_pressure,95.7771,95.7771,498092.559,6712.2828,106402.638,755.1408,19390.9704,28.7275,674.9964,838.875,609.0296,0.4035,2.5161,0.6053,0.2426,0.4615,0.0,0
59,dispute_pressure,95.7986,95.7986,504067.697,6324.3519,110383.5636,757.1673,19388.9439,48.9326,396.2376,847.013,611.0561,0.4111,2.5161,0.6047,0.2427,0.5,0.0,0
60,dispute_pressure,92.7204,93.8826,508636.431,7103.2035,114424.2405,766.549,19379.5622,40.8656,474.2267,858.7401,620.4378,0.4185,2.5569,0.6055,0.2415,0.5,0.0,0
61,dispute_pressure,93.459,93.459,514594.6532,6397.3573,118510.6048,766.549,19379.5622,34.0,569.9869,858.7401,620.4378,0.4215,2.5161,0.6122,0.2394,0.5,0.0,0
62,dispute_pressure,93.2014,93.2014,519799.0803,6353.4159,122656.5514,766.549,19379.5622,61.7922,313.6249,858.7401,620.4378,0.4314,2.5161,0.6171,0.2368,0.5,0.0,0
63,dispute_pressure,92.4692,92.4692,524693.3776,6508.0462,126854.5422,766.549,19379.5622,67.161,288.5539,858.7401,620.4378,0.4113,2.5569,0.6027,0.236,0.4667,0.0,0
64,dispute_pressure,92.7544,92.7544,530455.9972,5750.9534,131101.476,766.549,19379.5622,93.2039,207.9264,858.7401,620.4378,0.4157,2.5161,0.6074,0.2353,0.4667,0.0,0
65,dispute_pressure,92.5037,92.5037,534752.4823,6390.9593,135406.0359,779.5953,19366.5159,84.393,229.4802,879.6064,633.4841,0.4084,2.5569,0.6031,0.2327,0.4375,0.0,0
66,dispute_pressure,92.9623,92.9623,540617.6061,5474.5367,139753.5608,797.9773,19348.1339,34.9156,554.1396,902.5839,651.8661,0.383,2.7253,0.5932,0.2336,0.4118,0.0,0
67,dispute_pressure,93.195,93.195,544214.6423,6790.8274,144159.7368,797.9773,19348.1339,36.6786,527.5048,902.5839,651.8661,0.3748,2.7253,0.5911,0.2339,0.4118,0.0,0
68,dispute_pressure,94.4178,94.4178,550178.3449,5819.6561,148601.8832,799.8414,19346.2698,32.4251,596.6441,911.9041,653.7302,0.377,2.7253,0.5918,0.2319,0.3889,0.0,0
69,dispute_pressure,93.1919,93.1919,555021.7854,5793.6194,153103.6667,799.8414,19346.2698,42.2257,458.1639,911.9041,653.7302,0.3819,2.8323,0.5845,0.2305,0.3889,0.0,0
70,dispute_pressure,93.6102,93.6102,560014.7008,5611.5093,157653.8845,801.262,19344.8493,56.0593,345.0786,919.007,655.1507,0.3728,3.4065,0.5712,0.2283,0.3684,0.0,0
71,dispute_pressure,92.7014,92.7014,564028.431,6235.198,162254.0315,801.262,19344.8493,63.2192,305.9965,919.007,655.1507,0.3649,3.581,0.5667,0.2265,0.3684,0.0,0
72,dispute_pressure,93.6518,93.6518,568618.1437,6350.9128,166894.3159,842.8927,19303.2185,0.0,19303.2185,971.0454,696.7815,0.3604,3.8719,0.5696,0.2243,0.3684,0.0,0
73,dispute_pressure,95.7106,95.7106,574239.7838,5589.7853,171580.4973,842.8927,19303.2185,30.8466,625.781,971.0454,696.7815,0.3653,3.8719,0.5699,0.2243,0.3684,0.0,0
74,dispute_pressure,93.7697,93.7964,578029.6782,6398.2788,176322.8951,854.5121,19291.5991,74.6241,258.517,985.5697,708.4009,0.3632,3.8719,0.5675,0.2247,0.3684,0.0,0
75,dispute_pressure,96.5314,96.5314,583397.8098,7930.4393,181103.1919,873.9734,19272.1378,42.6715,451.6395,1009.8963,727.8622,0.3524,2.4561,0.6421,0.3257,0.3684,0.0,0
76,dispute_pressure,94.9654,94.9654,591500.3807,6385.0251,185925.5834,889.137,19256.9742,36.22,531.6671,1034.2601,743.0258,0.3463,2.5032,0.639,0.3234,0.4,0.0,0
77,dispute_pressure,96.5141,96.5141,596323.2637,8258.5427,190810.8788,889.137,19256.9742,65.067,295.9559,1034.2601,743.0258,0.3578,2.5032,0.6399,0.3234,0.4,0.0,0
78,dispute_pressure,95.4505,95.4505,604408.7117,6697.6099,195725.1464,902.1765,19243.9347,68.8434,279.532,1050.5594,756.0653,0.3667,2.5569,0.6396,0.3255,0.4,0.0,0
79,dispute_pressure,96.2947,96.2947,609616.3419,8069.3657,200701.1288,914.3961,19231.7151,46.8475,410.5178,1065.834,768.2849,0.3654,2.5569,0.6367,0.3256,0.381,0.0,0
