day,scenario,appi,daily_ubi_amount,a_supply_total,a_unclaimed_total,a_decay_burn_total,b_supply_total,b_reserves,b_liabilities,reserve_coverage_ratio,crystallized_a_total,crystallized_b_total,top10_b_share,median_b_balance,gini_b,gini_integrity,virtual_stake_usage_rate,defense_quota_usage_rate,defense_quota_eligible_total
0,inequality_pressure,100.9142,100.9142,15736.3182,5146.6232,0.0,483.1989,20000.0,33.8406,591.0057,0.0,0.0,0.585,1.7428,0.634,0.5179,0.0,0.0,0
1,inequality_pressure,100.3094,100.3094,25065.2418,7838.045,0.0,496.6282,19986.5706,33.8406,590.6089,16.7867,13.4294,0.568,1.7428,0.6392,0.518,0.0,0.0,0
2,inequality_pressure,101.3383,101.3383,34661.8151,10402.0725,0.0,496.6282,19986.5706,12.5793,1588.8496,16.7867,13.4294,0.587,1.7428,0.6545,0.5185,0.0,0.0,0
3,inequality_pressure,102.7547,102.7547,45161.2189,12233.2325,0.0,496.6282,19986.5706,0.0,19986.5706,16.7867,13.4294,0.5721,1.7469,0.6542,0.518,0.0,0.0,0
4,inequality_pressure,101.1751,101.1751,57803.4394,11680.5105,0.0,503.5739,19979.6249,34.2653,583.0855,25.4688,20.3751,0.5642,1.7469,0.6557,0.5172,0.0,0.0,0
5,inequality_pressure,102.368,102.368,72081.4942,9686.6118,0.0,503.5739,19979.6249,41.8023,477.9548,25.4688,20.3751,0.5576,1.7469,0.6528,0.5172,0.0,0.0,0
6,inequality_pressure,102.599,102.599,85951.074,8085.9625,0.0,548.5704,19934.6284,16.2687,1225.3358,90.9147,65.3716,0.5121,1.8408,0.6554,0.5137,1.0,0.0,0
7,inequality_pressure,104.7714,104.7714,96026.4472,10583.163,0.0,554.7138,19928.4851,10.1253,1968.1787,98.5939,71.5149,0.5065,1.8408,0.657,0.5132,1.0,0.0,0
8,inequality_pressure,103.9995,103.9995,109430.043,9659.5024,0.0,564.8392,19918.3597,0.0,19918.3597,111.2506,81.6403,0.4974,1.8408,0.658,0.5139,1.0,0.0,0
9,inequality_pressure,103.175,103.175,120795.513,10649.0795,8.6453,564.8392,19918.3597,41.7142,477.496,111.2506,81.6403,0.5104,1.8408,0.653,0.5139,1.0,0.0,0
10,inequality_pressure,102.4722,102.4722,132258.0339,11420.7319,71.1339,564.8392,19918.3597,41.7142,477.496,111.2506,81.6403,0.5009,1.8408,0.6505,0.5134,1.0,0.0,0
